Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
251,P8CIUPP_HI_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils with high prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
252,ATT8SCR_EAL,Average Attainment 8 score per pupil for whom English is an additional language,,,Yes,Yes,Yes
253,ATT8SCRENG_EAL,Average Attainment 8 score per pupil for whom English is an additional language for English element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
254,ATT8SCRMAT_EAL,Average Attainment 8 score per pupil for whom English is an additional language for mathematics element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
255,ATT8SCREBAC_EAL,Average Attainment 8 score per pupil for whom English is an additional language for EBacc element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
256,ATT8SCROPEN_EAL,Average Attainment 8 score per pupil for whom English is an additional language for open element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
257,ATT8SCROPENG_EAL,Average Attainment 8 score per pupil for whom English is an additional language - GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
258,ATT8SCROPENNG_EAL,Average Attainment 8 score per pupil for whom English is an additional language - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
259,P8PUP_EAL,Number of pupils for whom English is an additional language included in Progress 8 measure,,,Yes,Yes,Yes
260,TP8ADJ_EAL,Number of pupils for whom English is an additional language in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
261,P8MEA_EAL,Adjusted Progress 8 measure - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
262,P8CILOW_EAL,Adjusted Progress 8 lower 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
263,P8CIUPP_EAL,Adjusted Progress 8 upper 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
264,P8MEA_EAL_ORIG,Unadjusted Progress 8 measure - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
265,P8CILOW_EAL_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
266,P8CIUPP_EAL_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils for whom English is an additional language,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
267,ATT8SCR_GIRLS,Average Attainment 8 score per girl,,,Yes,Yes,Yes
268,ATT8SCRENG_GIRLS,Average Attainment 8 score per girl for English element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
269,ATT8SCRMAT_GIRLS,Average Attainment 8 score per girl for mathematics element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
270,ATT8SCREBAC_GIRLS,Average Attainment 8 score per girl for EBacc element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
271,ATT8SCROPEN_GIRLS,Average Attainment 8 score per girl for open element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
272,ATT8SCROPENG_GIRLS,Average Attainment 8 score per girl - GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
273,ATT8SCROPENNG_GIRLS,Average Attainment 8 score per girl - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
274,P8PUP_GIRLS,Number of girls included in Progress 8 measure,,,Yes,Yes,Yes
275,TP8ADJ_GIRLS,Number of girls in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
276,P8MEA_GIRLS,Adjusted Progress 8 measure - girls,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
277,P8CILOW_GIRLS,Adjusted Progress 8 lower 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
278,P8CIUPP_GIRLS,Adjusted Progress 8 upper 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
279,P8MEA_GIRLS_ORIG,Unadjusted Progress 8 measure - girls,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
280,P8CILOW_GIRLS_ORIG,Unadjusted Progress 8 lower 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
281,P8CIUPP_GIRLS_ORIG,Unadjusted Progress 8 upper 95% confidence interval - girls,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
282,ATT8SCR_BOYS,Average Attainment 8 score per boy,,,Yes,Yes,Yes
283,ATT8SCRENG_BOYS,Average Attainment 8 score per boy for English element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
284,ATT8SCRMAT_BOYS,Average Attainment 8 score per boy for mathematics element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
285,ATT8SCREBAC_BOYS,Average Attainment 8 score per boy for EBacc element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
286,ATT8SCROPEN_BOYS,Average Attainment 8 score per boy for open element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
287,ATT8SCROPENG_BOYS,Average Attainment 8 score per boy - GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
288,ATT8SCROPENNG_BOYS,Average Attainment 8 score per boy - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
289,P8PUP_BOYS,Number of boys included in Progress 8 measure,,,Yes,Yes,Yes
290,TP8ADJ_BOYS,Number of boys in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
291,P8MEA_BOYS,Adjusted Progress 8 measure - boys,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
292,P8CILOW_BOYS,Adjusted Progress 8 lower 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
293,P8CIUPP_BOYS,Adjusted Progress 8 upper 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
294,P8MEA_BOYS_ORIG,Unadjusted Progress 8 measure - boys,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
295,P8CILOW_BOYS_ORIG,Unadjusted Progress 8 lower 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
296,P8CIUPP_BOYS_ORIG,Unadjusted Progress 8 upper 95% confidence interval - boys,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
297,ATT8SCR_NMOB,Average Attainment 8 score per non-mobile pupil,,,Yes,Yes,Yes
298,ATT8SCRENG_NMOB,Average Attainment 8 score per non-mobile pupil for English element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
299,ATT8SCRMAT_NMOB,Average Attainment 8 score per non-mobile pupil for mathematics element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
300,ATT8SCREBAC_NMOB,Average Attainment 8 score per non-mobile pupil for EBacc element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
301,ATT8SCROPEN_NMOB,Average Attainment 8 score per non-mobile pupil for open element,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
302,ATT8SCROPENG_NMOB,Average Attainment 8 score per non-mobile pupil - GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
303,ATT8SCROPENNG_NMOB,Average Attainment 8 score per non-mobile pupil - non-GCSE only,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
304,P8PUP_NMOB,Number of non-mobile pupils included in Progress 8 measure,,,Yes,Yes,Yes
305,TP8ADJ_NMOB,Number of non-mobile pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
306,P8MEA_NMOB,Adjusted Progress 8 measure - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
307,P8CILOW_NMOB,Adjusted Progress 8 lower 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
308,P8CIUPP_NMOB,Adjusted Progress 8 upper 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
309,P8MEA_NMOB_ORIG,Unadjusted Progress 8 measure - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
310,P8CILOW_NMOB_ORIG,Unadjusted Progress 8 lower 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
311,P8CIUPP_NMOB_ORIG,Unadjusted Progress 8 upper 95% confidence interval - non-mobile pupils,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
312,ATT8SCR_17,Average Attainment 8 score per pupil  - 2017,,,Yes,Yes,Yes
313,P8PUP_17,Number of pupils in progress measure - 2017,,,Yes,Yes,Yes
314,P8MEA_17,Progress 8 measure - 2017,,,Yes,Yes,Yes
315,P8CILOW_17,Progress 8 lower 95% confidence interval - 2017,,,Yes,Yes,Yes
316,P8CIUPP_17,Progress 8 upper 95% confidence interval - 2017,,,Yes,Yes,Yes
317,ATT8SCR_FSM6CLA1A_17,Average Attainment 8 score per disadvantaged pupil - 2017,,,Yes,Yes,Yes
318,P8PUP_FSM6CLA1A_17,Number of disadvantaged pupils in progress measure - 2017,,,Yes,Yes,Yes
319,P8MEA_FSM6CLA1A_17,Progress 8 measure - disadvantaged pupils - 2017,,,Yes,Yes,Yes
320,P8CILOW_FSM6CLA1A_17,Progress 8 lower 95% confidence interval - disadvantaged pupils - 2017,,,Yes,Yes,Yes
321,P8CIUPP_FSM6CLA1A_17,Progress 8 upper 95% confidence interval - disadvantaged pupils - 2017,,,Yes,Yes,Yes
322,ATT8SCR_NFSM6CLA1A_17,Average Attainment 8 score per non-disadvantaged pupil - 2017,,,Yes,Yes,Yes
323,P8PUP_NFSM6CLA1A_17,Number of non-disadvantaged pupils in progress measure -  2017,,,Yes,Yes,Yes
324,P8MEA_NFSM6CLA1A_17,Progress 8 measure - non-disadvantaged pupils  - 2017,,,Yes,Yes,Yes
325,P8CILOW_NFSM6CLA1A_17,Progress 8 lower 95% confidence interval - non-disadvantaged pupils - 2017,,,Yes,Yes,Yes
326,P8CIUPP_NFSM6CLA1A_17,Progress 8 upper 95% confidence interval - non-disadvantaged pupils - 2017,,,Yes,Yes,Yes
327,ATT8SCR_18,Average Attainment 8 score per pupil  - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
328,P8PUP_18,Number of pupils in progress measure - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
329,P8MEA_18,Progress 8 measure - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
330,P8CILOW_18,Progress 8 lower 95% confidence interval - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
331,P8CIUPP_18,Progress 8 upper 95% confidence interval - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
332,ATT8SCR_FSM6CLA1A_18,Average Attainment 8 score per disadvantaged pupil - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
333,P8PUP_FSM6CLA1A_18,Number of disadvantaged pupils in progress measure - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
334,P8MEA_FSM6CLA1A_18,Progress 8 measure - disadvantaged pupils - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
335,P8CILOW_FSM6CLA1A_18,Progress 8 lower 95% confidence interval - disadvantaged pupils - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
336,P8CIUPP_FSM6CLA1A_18,Progress 8 upper 95% confidence interval - disadvantaged pupils - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
337,ATT8SCR_NFSM6CLA1A_18,Average Attainment 8 score per non-disadvantaged pupil - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
338,P8PUP_NFSM6CLA1A_18,Number of non-disadvantaged pupils in progress measure - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
339,P8MEA_NFSM6CLA1A_18,Progress 8 measure - non-disadvantaged pupils  - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
340,P8CILOW_NFSM6CLA1A_18,Progress 8 lower 95% confidence interval - non-disadvantaged pupils - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
341,P8CIUPP_NFSM6CLA1A_18,Progress 8 upper 95% confidence interval - non-disadvantaged pupils - 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
342,TEBACC_ELO_PTQ_EE,Number of pupils in low prior attainment band with entries in all EBacc subject areas ,,,Yes,Yes,Yes
343,PTEBACC_ELO_PTQ_EE,EBacc entered % by low prior attainment,,,Yes,Yes,Yes
344,PTEBACCLO_94,EBacc achieved % by low prior attainment - with standard 9-4 passes in English and maths ,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
345,PTEBACCLO_95,EBacc achieved % by low prior attainment - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
346,TEBACC_EAV_PTQ_EE,Number of pupils in middle prior attainment band with entries in all EBacc subject areas ,,,Yes,Yes,Yes
347,PTEBACC_EAV_PTQ_EE,EBacc entered % by middle prior attainment,,,Yes,Yes,Yes
348,PTEBACCAV_94,EBacc achieved % by middle prior attainment - with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
349,PTEBACCAV_95,EBacc achieved % by middle prior attainment - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
350,TEBACC_EHI_PTQ_EE,Number of pupils in high prior attainment band with entries in all EBacc subject areas ,,,Yes,Yes,Yes
351,PTEBACC_EHI_PTQ_EE,EBacc entered % by high prior attainment,,,Yes,Yes,Yes
352,PTEBACCHI_94,EBacc achieved % by high prior attainment - with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
353,PTEBACCHI_95,EBacc achieved % by high prior attainment - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
354,PTEBACC_EFSM6CLA1A_PTQ_EE,% of disadvantaged pupils entering all English Baccalaureate subject areas,,,,Yes,
355,PTEBACC_ENFSM6CLA1A_PTQ_EE, % of non-disadvantaged pupils entering all English Baccalaureate subject areas,,,Yes,Yes,Yes
356,PTEBACC_94_FSM6CLA1A, % of disadvantaged pupils achieving the English Baccalaureate - with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
357,PTEBACC_95_FSM6CLA1A, % of disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
358,PTEBACC_94_NFSM6CLA1A, % of non-disadvantaged pupils achieving the English Baccalaureate - with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
359,PTEBACC_95_NFSM6CLA1A, % of non-disadvantaged pupils achieving the English Baccalaureate - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
360,SCIVAMEA_LO_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
361,SCIVAMEA_AV_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
362,SCIVAMEA_HI_PTQ_EE,English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
363,SCIVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,
364,SCIVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
365,HUMVAMEA_LO_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
366,HUMVAMEA_AV_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
367,HUMVAMEA_HI_PTQ_EE,English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
368,HUMVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,
369,HUMVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
370,LANVAMEA_LO_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
371,LANVAMEA_AV_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
372,LANVAMEA_HI_PTQ_EE,English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
373,LANVAMEA_FSM6CLA1A_PTQ_EE,English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,
374,LANVAMEA_NFSM6CLA1A_PTQ_EE,English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
375,SCIVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
376,SCIVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
377,SCIVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
378,SCIVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
379,SCIVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
380,SCIVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
381,SCIVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
382,SCIVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
383,SCIVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
384,SCIVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
385,HUMVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
386,HUMVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
387,HUMVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
388,HUMVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
389,HUMVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
390,HUMVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
391,HUMVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
392,HUMVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
393,HUMVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
394,HUMVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
395,LANVAUPP_FSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
396,LANVALOW_FSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils,,,Yes,Yes,Yes
397,LANVAUPP_NFSM6CLA1A_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
398,LANVALOW_NFSM6CLA1A_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils,,,Yes,Yes,Yes
399,LANVAUPP_LO_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
400,LANVALOW_LO_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment,,,Yes,Yes,Yes
401,LANVAUPP_AV_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
402,LANVALOW_AV_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment,,,Yes,Yes,Yes
403,LANVAUPP_HI_PTQ_EE,Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
404,LANVALOW_HI_PTQ_EE,Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment,,,Yes,Yes,Yes
405,PTEBACC_E_17_PTQ_EE,Percentage of pupils entering all English Baccalaureate subject areas in 2017,,,Yes,Yes,Yes
407,PTEBACC_94_17,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2017,,,,,
408,PTEBACC_95_17,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2017,,,,,
409,PTEBACC_E_18_PTQ_EE,% of  pupils entering all English Baccalaureate subject areas in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
410,PTEBACC_94_18,% of KS4 pupils achieving the Ebacc - with standard 9-4 passes in English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
411,PTEBACC_95_18,% of KS4 pupils achieving the Ebacc - with strong 9-5 passes in English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
412,PBEBACC_E_PTQ_EE,Percentage of boys with entries in all English Baccalaureate subject areas,,,Yes,Yes,Yes
413,PBEBACC_94,% of KS4 boys achieving the Ebacc - with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
414,PBEBACC_95,% of KS4 boys achieving the Ebacc - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
415,PGEBACC_E_PTQ_EE,Percentage of girls with entries in all English Baccalaureate subject areas,,,Yes,Yes,Yes
416,PGEBACC_94,% of KS4 girls achieving the Ebacc - with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
417,PGEBACC_95,% of KS4 girls achieving the Ebacc - with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
418,PTEBACC_ENMOB_PTQ_EE,Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas,,,Yes,Yes,Yes
419,PTEBACCNMOB_94,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
420,PTEBACCNMOB_95,Percentage of non-mobile pupils achieving the English Baccalaureate with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
421,PTEBACC_EEAL_PTQ_EE,Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas,,,Yes,Yes,Yes
422,PTEBACCEAL_94,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
423,PTEBACCEAL_95,Percentage of pupils for whom English as an additional language achieving the English Baccalaureate with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
424,PTEBACC_EFSM6CLA1A_17,Percentage of disadvantaged pupils entering all English Baccalaureate subject areas in 2017,,,Yes,Yes,Yes
425,PTEBACC_94_FSM6CLA1A_17,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-4 in 2017,,,Yes,Yes,Yes
426,PTEBACC_95_FSM6CLA1A_17,Percentage of disadvantaged pupils achieving the English Baccalaureate at grades 9-5 in 2017,,,,,
427,PTEBACC_ENFSM6CLA1A_17,Percentage of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2017,,,Yes,Yes,Yes
428,PTEBACC_94_NFSM6CLA1A_17,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-4 in 2017,,,Yes,Yes,Yes
429,PTEBACC_95_NFSM6CLA1A_17,Percentage of non-disadvantaged pupils achieving the English Baccalaureate at grade 9-5 in 2017,,,,,
430,PTEBACC_EFSM6CLA1A_18,% of disadvantaged pupils entering all English Baccalaureate subject areas in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
431,PTEBACC_94_FSM6CLA1A_18,% of disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
432,PTEBACC_95_FSM6CLA1A_18,% of disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
433,PTEBACC_ENFSM6CLA1A_18,% of non-disadvantaged pupils entering all English Baccalaureate subject areas in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
434,PTEBACC_94_NFSM6CLA1A_18,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-4 passes in English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
435,PTEBACC_95_NFSM6CLA1A_18,% of non-disadvantaged pupils achieving the English Baccalaureate including 9-5 passes in English and maths in 2018,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
436,PT5EM_94,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
437,PT5EM_94_17,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs in 2017,Yes - see 2017 methodology sheet for methodology change,Yes,Yes,Yes,Yes
438,PT5EM_94_18,% of pupils achieving Level 2 threshold including standard passes 9-4 in both English and Maths GCSEs,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
439,PTANYQ_PTQ_EE,Percentage of pupils achieving any qualifications,,,Yes,Yes,Yes
440,PTL2BASICS_94_17,% of pupils achieving 9-4 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
441,PTL2BASICS_95_17,% of pupils achieving 9-5 passes in GCSE English and maths in 2017,Yes - see 2018 methodology sheet for methodology change,,,,
442,PTL2BASICS_94_18,% of pupils achieving 9-4 passes in GCSE English and maths in 2018,,,,,
443,PTL2BASICS_95_18,% of pupils achieving 9-5 passes in GCSE English and maths in 2018,,,,,
